source_country,destination_country,corridor_volume_musd,fx_spread_bps,transfer_fee_percent,settlement_time_days,has_tax_treaty,tax_rate_percent,withholding_tax_amount_musd,compliance_regulatory_score,sovereign_geopolitical_score,volatility_index,market_infrastructure_score,tax_treaty_quality,currency_convertibility,capital_controls,payment_system_efficiency,network_depth,corridor_stability_score
Canada,Russia,3.58,225.32,6.78,20.63,0,14.78,0.5291,65.84,42.16,39.46,43.45,52.02,0.312,0.455,0.697,0.319,33.35
Australia,United States,87954.9,196.15,8.19,4.93,0,18.8,16535.5212,46.58,57.32,66.22,59.94,47.42,0.43,0.004,0.577,0.8,65.47
South Africa,Colombia,0.63,202.86,5.98,28.98,1,14.2,0.0895,63.41,63.48,11.17,43.15,64.3,0.305,0.183,0.384,0.186,25.98
Brazil,Ireland,1.47,90.21,2.41,25.26,0,28.8,0.4234,41.91,59.85,35.98,53.01,62.54,0.796,0.221,0.566,0.773,31.85
Australia,Saudi Arabia,26655.77,247.87,4.53,24.68,0,16.03,4272.9199,51.39,45.34,55.09,48.02,72.03,0.117,0.812,0.61,0.428,59.65
Nigeria,United Arab Emirates,978.41,162.02,7.24,5.05,1,9.99,97.7432,85.68,77.43,56.58,51.75,38.54,0.25,0.711,0.577,0.269,45.15
France,Philippines,406.72,87.08,11.25,11.07,1,4.23,17.2043,77.13,45.54,27.81,42.92,15.93,0.269,0.828,0.344,0.683,45.46
Colombia,United States,0.74,258.01,5.41,0.02,1,19.99,0.1479,38.23,53.2,46.62,35.12,36.87,0.306,0.699,0.477,0.133,25.01
India,Spain,52452.14,296.51,5.18,3.97,0,7.23,3792.2897,48.3,63.95,40.36,59.21,44.79,0.61,0.164,0.616,0.442,62.36
Singapore,Australia,1339.73,118.29,11.57,9.44,0,21.12,282.951,57.11,63.26,32.64,47.84,40.32,0.392,0.646,0.241,0.638,47.33
India,Indonesia,344723.44,43.93,10.36,17.05,1,6.76,23303.3045,55.94,58.23,42.31,40.49,81.51,0.767,0.424,0.084,0.079,61.47
Japan,Poland,19.38,178.0,9.21,19.5,0,15.94,3.0892,53.1,50.84,28.68,49.25,64.44,0.137,0.011,0.259,0.372,38.26
Australia,United States,22.13,131.65,6.38,7.89,0,17.77,3.9325,42.45,56.41,48.12,52.85,62.32,0.012,0.046,0.035,0.803,38.95
Egypt,Italy,5.47,275.18,3.98,24.78,1,20.52,1.1224,33.75,63.07,26.04,64.77,54.28,0.369,0.292,0.972,0.998,38.7
Poland,Turkey,1.13,280.06,0.48,16.25,0,5.04,0.057,77.01,34.61,59.68,47.15,63.45,0.921,0.897,0.085,0.096,34.13
Germany,United Arab Emirates,110.89,289.44,2.99,7.83,1,7.93,8.7936,58.33,49.0,27.48,52.48,64.63,0.121,0.358,0.09,0.808,44.85
United Kingdom,Nigeria,71035.14,101.7,1.28,7.45,1,4.98,3537.55,48.78,63.24,33.61,35.12,63.45,0.062,0.781,0.938,0.084,53.74
Germany,United States,955278.45,63.34,7.82,24.28,0,25.73,245793.1452,35.06,44.57,34.77,42.47,50.72,0.187,0.28,0.295,0.412,67.94
Saudi Arabia,Thailand,0.91,63.84,10.64,15.77,0,24.55,0.2234,51.65,49.8,58.25,51.17,69.09,0.059,0.992,0.1,0.657,32.38
United Arab Emirates,Egypt,1071.14,294.89,4.78,28.06,0,19.81,212.1928,82.53,59.58,63.01,34.28,43.31,0.492,0.309,0.526,0.001,42.0
Singapore,Spain,10436.71,276.04,10.16,9.71,0,22.62,2360.7838,33.37,52.35,48.45,61.22,37.35,0.732,0.437,0.562,0.89,60.81
Brazil,Thailand,14.05,208.11,1.7,21.86,1,13.96,1.9614,42.03,56.09,23.52,52.68,58.43,0.32,0.636,0.336,0.011,37.7
Malaysia,Russia,32295.35,217.52,0.77,13.15,1,13.96,4508.4309,52.53,59.4,31.05,47.83,65.37,0.295,0.319,0.732,0.547,57.31
Kenya,United States,104.54,197.82,7.37,13.03,0,10.14,10.6004,58.28,36.63,51.49,36.08,15.79,0.361,0.428,0.026,0.171,40.6
Australia,Switzerland,31198.67,143.93,10.76,7.95,1,24.7,7706.0715,42.35,40.05,34.8,54.09,50.72,0.541,0.971,0.419,0.536,63.59
Turkey,Kenya,12.36,121.47,10.28,1.04,0,23.93,2.9577,73.88,60.05,76.55,33.95,48.39,0.258,0.911,0.326,0.276,29.08
Belgium,Vietnam,0.61,49.14,6.89,17.48,0,19.07,0.1163,37.68,49.15,14.97,50.99,61.24,0.609,0.694,0.746,0.921,31.94
Switzerland,Saudi Arabia,79419.29,258.18,8.28,29.17,0,29.36,23317.5035,56.15,49.56,73.33,51.86,11.72,0.821,0.515,0.851,0.879,63.5
South Africa,United Arab Emirates,5.58,139.65,11.03,21.14,1,13.54,0.7555,70.04,56.94,52.59,30.54,27.22,0.259,0.831,0.78,0.214,26.28
Nigeria,Saudi Arabia,3640.08,156.42,10.4,29.01,0,8.31,302.4906,45.94,67.9,70.65,57.73,62.36,0.218,0.302,0.999,0.966,53.25
Netherlands,Switzerland,6178.63,147.11,4.17,8.29,1,6.57,405.936,67.07,71.22,60.47,48.41,54.07,0.721,0.655,0.035,0.708,50.39
Egypt,Poland,2938.97,145.34,11.3,10.75,1,14.96,439.6699,44.66,48.06,36.71,43.04,72.9,0.355,0.744,0.294,0.851,50.73
Germany,Kenya,168260.6,152.64,10.44,11.45,1,21.28,35805.8557,54.57,77.99,18.27,48.76,65.83,0.987,0.313,0.576,0.158,58.75
Singapore,Mexico,2719.02,124.0,11.59,11.5,0,23.27,632.716,87.97,36.7,42.79,46.96,55.01,0.503,0.306,0.52,0.524,54.34
Singapore,Spain,939663.6,149.6,9.05,4.95,1,10.5,98664.678,46.54,54.7,63.93,40.28,32.49,0.594,0.048,0.444,0.124,64.99
Nigeria,India,12.82,200.19,8.02,8.1,0,27.47,3.5217,52.36,72.57,55.62,37.85,36.82,0.16,0.548,0.013,0.089,28.23
Ethiopia,Japan,442712.83,234.96,1.09,21.71,1,11.17,49451.0231,48.74,73.1,41.27,63.91,58.19,0.89,0.01,0.955,0.268,68.58
Spain,Brazil,0.63,123.07,5.59,25.07,1,12.73,0.0802,58.18,47.84,54.5,57.47,44.14,0.38,0.359,0.131,0.92,34.83
United Kingdom,Germany,6.78,97.7,8.51,20.34,0,21.75,1.4747,56.86,45.19,56.02,67.23,57.08,0.988,0.055,0.869,0.075,43.79
Saudi Arabia,United Arab Emirates,353.59,167.4,4.67,24.51,0,25.03,88.5036,62.55,40.33,21.63,49.88,24.57,0.604,0.619,0.95,0.363,48.88
Colombia,Spain,833.79,187.83,5.78,19.72,1,22.66,188.9368,51.79,54.88,29.88,62.18,31.15,0.722,0.107,0.457,0.781,53.37
Vietnam,United Kingdom,306468.41,252.05,7.15,23.16,1,15.19,46552.5515,54.17,67.34,74.98,41.84,58.72,0.174,0.815,0.881,0.419,59.84
Turkey,Saudi Arabia,60.97,106.14,3.67,24.14,0,22.5,13.7182,62.47,69.41,40.17,49.19,41.42,0.672,0.981,0.322,0.115,37.74
Vietnam,Poland,10.03,254.95,9.74,15.68,0,6.33,0.6349,43.27,56.0,34.93,48.06,62.43,0.453,0.616,0.389,0.511,34.97
United Arab Emirates,Thailand,51.63,287.23,11.71,9.38,0,11.28,5.8239,78.15,78.57,59.35,47.28,33.17,0.964,0.294,0.514,0.377,34.67
Singapore,China,1224.34,80.23,4.1,21.29,0,28.22,345.5087,69.88,55.13,66.89,46.7,22.15,0.521,0.786,0.883,0.663,48.24
Belgium,Kenya,947147.41,247.99,11.78,0.26,1,21.4,202689.5457,75.81,68.4,52.14,54.3,52.19,0.822,0.375,0.193,0.514,67.88
Poland,India,2446.42,67.18,7.63,6.4,1,5.88,143.8495,83.46,45.98,27.68,49.9,51.53,0.178,0.252,0.451,0.404,53.36
Australia,Poland,0.11,217.48,0.95,22.38,0,6.81,0.0075,64.63,44.62,52.42,59.8,74.14,0.136,0.391,0.677,0.914,35.3
Indonesia,India,749.32,168.75,1.65,0.15,1,20.93,156.8327,68.7,46.39,40.82,62.79,29.93,0.181,0.8,0.461,0.55,55.01
Canada,South Africa,11998.44,148.72,4.1,3.85,0,20.49,2458.4804,60.06,52.98,25.53,59.82,30.72,0.246,0.222,0.733,0.878,60.53
Switzerland,Ethiopia,727.28,56.85,7.36,25.25,0,9.91,72.0734,72.63,77.39,34.21,44.78,62.7,0.261,0.894,0.891,0.59,41.52
Portugal,France,59.91,153.14,8.02,25.44,0,8.51,5.0983,48.74,59.02,40.62,51.28,50.39,0.234,0.669,0.882,0.04,40.61
Belgium,Saudi Arabia,69840.26,82.68,6.62,5.22,1,17.38,12138.2372,61.85,66.1,49.98,39.65,23.96,0.139,0.166,0.362,0.717,54.93
Spain,Australia,234.76,146.25,2.69,4.84,1,6.02,14.1326,50.92,28.42,67.17,45.49,34.03,0.019,0.72,0.993,0.867,48.33
Japan,Brazil,2304.0,155.69,2.18,20.57,1,4.7,108.288,25.81,73.53,52.34,53.67,73.88,0.878,0.531,0.539,0.001,49.18
Mexico,Belgium,88.06,263.07,8.43,12.87,1,8.79,7.7405,72.76,38.44,61.76,50.95,59.79,0.409,0.189,0.007,0.655,45.69
Indonesia,Canada,1.21,197.21,3.19,25.65,1,14.62,0.1769,57.79,51.08,73.03,53.82,61.81,0.398,0.138,0.949,0.1,33.61
Ireland,United Arab Emirates,1.33,289.55,0.26,2.73,0,20.01,0.2661,31.66,68.58,43.61,57.47,58.82,0.774,0.175,0.518,0.195,31.72
Egypt,China,5226.02,111.12,7.93,29.27,0,24.49,1279.8523,50.03,38.74,67.64,58.26,39.3,0.963,0.277,0.261,0.407,60.34
Netherlands,Spain,425704.51,241.87,11.49,26.28,1,19.09,81266.991,72.72,54.08,23.69,52.21,34.38,0.994,0.677,0.01,0.832,67.6
Spain,Germany,761.83,57.65,3.9,6.56,1,21.52,163.9458,65.73,40.97,60.82,64.49,28.89,0.12,0.078,0.958,0.848,56.82
Saudi Arabia,Ethiopia,1.91,230.46,6.23,11.94,0,24.98,0.4771,55.65,62.69,39.07,38.56,34.3,0.211,0.581,0.237,0.471,25.98
Ethiopia,Mexico,2.98,211.71,4.59,25.63,1,14.95,0.4455,84.38,66.1,64.14,44.79,51.98,0.01,0.422,0.316,0.487,28.7
United Arab Emirates,Philippines,0.49,53.19,2.74,7.63,0,13.37,0.0655,65.59,49.86,43.61,48.97,45.61,0.175,0.78,0.89,0.381,30.77
Japan,China,3048.35,278.93,5.18,18.37,1,3.9,118.8856,31.21,43.1,56.84,59.87,36.57,0.966,0.414,0.94,0.701,58.56
Canada,Germany,361040.26,144.59,0.84,23.13,0,20.45,73832.7332,52.17,45.39,17.08,61.95,41.0,0.915,0.864,0.135,0.948,72.75
Colombia,Mexico,461.55,193.66,3.85,10.42,0,16.05,74.0788,37.87,53.26,56.63,40.19,58.51,0.477,0.009,0.374,0.412,43.19
China,Thailand,62948.88,70.07,1.13,18.76,1,20.27,12759.738,72.26,45.21,28.1,34.34,30.81,0.05,0.535,0.727,0.233,56.69
Spain,Vietnam,15.17,240.84,11.98,13.91,0,26.09,3.9579,63.5,52.75,52.55,43.06,59.5,0.249,0.771,0.771,0.521,34.73
Switzerland,Italy,1.29,219.83,8.99,16.49,0,20.96,0.2704,68.5,34.85,34.81,43.01,32.0,0.009,0.042,0.089,0.158,32.63
United Arab Emirates,Malaysia,3251.05,211.89,9.54,3.77,0,18.96,616.3991,66.51,47.38,40.27,55.27,44.7,0.543,0.49,0.868,0.599,56.05
Belgium,Japan,139.86,246.73,6.59,13.62,1,17.19,24.0419,58.12,52.12,52.73,38.88,28.94,0.283,0.41,0.938,0.179,39.45
South Africa,Canada,0.17,194.32,4.79,14.7,1,10.26,0.0174,59.56,72.35,60.88,48.48,26.18,0.822,0.794,0.834,0.078,25.38
Canada,Egypt,526.78,60.89,6.41,7.46,0,18.95,99.8248,72.67,56.82,53.06,69.68,67.31,0.534,0.6,0.845,0.412,54.66
Italy,Turkey,875.01,68.11,9.24,27.78,1,13.37,116.9888,39.84,33.77,48.75,53.97,32.55,0.772,0.943,0.572,0.094,54.45
Russia,Indonesia,168801.95,78.71,3.22,9.01,1,7.46,12592.6255,36.53,63.73,44.68,52.78,69.6,0.382,0.78,0.93,0.121,63.22
India,Thailand,0.24,159.69,3.97,16.95,1,7.89,0.0189,45.25,45.48,20.4,44.34,51.57,0.571,0.049,0.13,0.135,29.26
South Africa,Ireland,2051.06,222.02,3.11,2.15,1,23.6,484.0502,45.55,36.7,80.0,54.29,16.23,0.442,0.146,0.758,0.853,56.46
Japan,Netherlands,0.12,209.67,1.51,13.5,0,23.5,0.0282,55.26,72.88,57.12,48.01,55.11,0.255,0.06,0.945,0.067,24.96
Indonesia,Canada,0.14,260.89,7.86,6.94,1,16.94,0.0237,69.57,54.6,40.66,51.01,28.26,0.49,0.744,0.996,0.979,29.86
Russia,Thailand,170928.55,245.38,0.55,16.65,1,11.98,20477.2403,47.8,66.53,42.09,44.32,60.57,0.605,0.449,0.202,0.138,59.31
Singapore,Mexico,932825.91,292.85,1.91,27.99,0,18.93,176583.9448,51.54,75.75,53.77,46.0,38.46,0.894,0.933,0.762,0.612,63.05
Egypt,United States,32.72,208.0,5.82,15.07,1,9.26,3.0299,54.43,30.98,65.15,71.8,45.39,0.758,0.066,0.325,0.458,52.71
United Kingdom,Thailand,11000.35,121.27,11.28,17.16,0,16.29,1791.957,65.96,58.14,30.99,49.87,49.74,0.398,0.305,0.055,0.517,55.26
Argentina,France,11442.67,38.39,9.39,28.14,0,13.09,1497.8455,51.26,59.79,49.16,51.57,36.67,0.091,0.706,0.975,0.612,55.73
United Kingdom,China,243091.32,171.82,7.98,4.5,0,22.8,55424.821,54.93,35.71,41.88,48.91,28.65,0.855,0.544,0.476,0.41,68.33
Turkey,Ireland,8.85,190.45,9.88,6.23,0,21.33,1.8877,56.73,53.51,45.09,51.5,27.26,0.692,0.595,0.931,0.093,36.52
Thailand,Germany,20374.83,253.78,0.97,14.12,0,11.86,2416.4548,62.43,64.47,64.27,57.86,59.08,0.986,0.287,0.354,0.13,58.98
Ethiopia,Brazil,153336.58,73.65,3.63,5.81,0,20.64,31648.6701,62.97,62.13,15.31,50.88,22.17,0.79,0.308,0.341,0.724,62.5
Brazil,South Africa,20.59,104.69,8.14,27.48,0,17.04,3.5085,71.69,65.48,43.0,66.3,55.49,0.536,0.208,0.97,0.28,42.32
Poland,China,992.82,119.92,7.22,25.94,1,8.29,82.3048,38.28,47.29,51.05,54.04,66.97,0.913,0.444,0.924,0.732,52.14
Japan,Canada,56881.31,281.72,8.19,3.98,0,22.84,12991.6912,53.76,42.8,48.04,46.35,24.23,0.578,0.312,0.319,0.441,61.68
Saudi Arabia,Australia,0.13,188.77,6.27,6.2,1,8.54,0.0111,79.64,44.47,32.94,63.13,41.27,0.384,0.086,0.69,0.446,36.71
South Africa,Poland,0.35,277.22,9.22,17.03,0,27.99,0.098,58.25,53.31,61.71,50.2,48.07,0.7,0.665,0.475,0.351,30.29
Malaysia,Singapore,359.46,124.68,8.63,3.21,0,18.32,65.8531,53.05,63.77,57.75,52.64,61.5,0.787,0.545,0.574,0.487,45.35
Ireland,Canada,56775.55,56.97,11.48,2.09,0,19.91,11304.012,63.77,40.73,70.05,55.02,76.27,0.453,0.292,0.3,0.794,65.56
Mexico,Malaysia,855115.54,176.9,7.42,15.31,0,6.56,56095.5794,66.09,43.88,51.12,45.79,54.25,0.712,0.406,0.555,0.843,69.09
